3,18,20,10,10,9,-2.8
5,19,20,23,16,18,-0.6
6,21,13,18,27,12,-0.4
23,9,2,21,34,18,5.0
24,23,20,50,52,40,6.6
25,1,0,0,1,0,-0.1
45,3,3,3,3,3,0.0
46,13,4,10,12,6,-0.6
47,12,12,10,12,12,0.0
48,15,13,22,13,13,-0.4
49,17,21,15,13,6,-3.0
50,27,31,32,30,12,-3.1
51,15,13,10,12,4,-2.3
52,65,47,51,36,18,-10.5
53,36,25,24,21,15,-4.6
56,37,45,41,46,39,0.5
58,3,7,9,18,6,1.7
59,4,3,7,3,3,-0.2
60,12,12,10,10,7,-1.2
61,3,0,3,0,0,-0.6
62,9,3,7,3,3,-1.2
64,0,3,3,3,0,0.0
66,62,69,46,49,34,-7.6
67,62,53,56,45,21,-9.0
68,61,56,45,36,29,-8.4
69,25,20,13,13,9,-3.9
70,0,3,6,9,6,1.8
71,9,0,6,10,6,0.4
72,0,6,3,3,6,0.9
73,9,12,8,5,1,-2.3
74,10,7,11,11,5,-0.6
75,14,8,18,9,12,-0.3
76,50,65,57,56,41,-2.7
77,73,82,55,55,48,-7.7
78,0,0,0,1,4,0.9
79,4,11,18,14,12,1.9
80,16,4,6,4,8,-1.6
81,18,12,12,12,12,-1.2
82,44,55,51,39,21,-6.2
83,18,30,35,18,9,-3.0
84,42,41,43,45,33,-1.4
85,9,6,6,3,6,-0.9
86,74,57,67,63,51,-4.0
87,24,18,22,21,15,-1.5
88,27,19,40,33,19,-0.2
89,12,9,3,6,0,-2.7
90,18,28,27,24,12,-1.6
91,9,6,15,19,6,0.7
92,13,16,15,12,9,-1.2
93,15,11,9,3,3,-3.2
94,9,9,21,15,9,0.6
95,15,9,16,24,15,1.5
96,24,21,19,27,9,-2.4
98,6,3,6,3,0,-1.2
99,12,4,4,15,6,-0.1
100,18,31,27,18,21,-0.7
108,7,17,27,14,6,-0.5
109,0,6,1,0,3,0.0
112,4,3,0,0,0,-1.1
113,222,217,256,245,151,-11.4
115,33,34,25,31,3,-6.3
116,10,18,14,13,7,-1.1
117,42,39,52,49,41,0.8
118,57,65,67,50,24,-8.1
120,35,20,51,40,27,0.4
121,28,22,37,38,11,-1.8
122,38,22,30,22,19,-3.8
123,21,19,21,27,16,-0.2
124,10,4,13,10,6,-0.2
125,31,19,34,30,21,-0.9
126,18,12,27,23,16,0.7
128,6,12,22,9,6,-0.3
129,3,0,0,6,3,0.6
131,24,19,23,14,12,-2.9
132,12,9,33,23,16,2.2
133,11,7,4,3,3,-2.0
134,6,6,6,3,3,-0.9
135,12,16,21,9,3,-2.5
136,18,9,12,12,6,-2.1
137,37,35,35,34,31,-1.3
138,30,24,19,19,9,-4.7
139,45,44,34,37,29,-3.9
140,28,34,32,30,27,-0.6
141,34,24,27,21,21,-2.9
142,15,24,24,18,12,-1.2
143,30,34,36,30,9,-4.6
144,15,13,15,9,13,-0.8
145,31,31,43,35,25,-0.8
146,24,26,25,23,14,-2.3
147,44,37,40,38,29,-2.9
148,42,47,41,45,37,-1.2
149,34,29,35,35,25,-1.2
150,45,45,53,55,50,2.0
151,50,58,64,62,60,2.4
152,22,19,25,28,24,1.3
153,27,18,28,28,25,0.6
154,23,25,39,26,11,-2.3
155,20,31,48,30,21,0.1
156,34,35,42,45,27,-0.4
157,40,36,49,51,41,1.7
158,35,37,42,29,30,-1.8
159,20,18,20,16,21,0.0
160,33,28,23,21,19,-3.5
161,28,13,26,16,13,-2.7
162,9,12,9,9,3,-1.5
163,18,21,20,16,15,-1.1
164,32,30,37,28,18,-3.0
165,22,22,20,16,16,-1.8
166,17,27,21,16,14,-1.7
167,10,23,17,14,12,-0.5
169,12,12,9,9,7,-1.3
180,0,0,1,1,0,0.1
183,0,0,0,1,0,0.1
184,1,2,0,1,1,-0.1
187,0,0,0,0,0,0.0
189,0,0,0,0,0,0.0
190,1,0,0,1,0,-0.1
191,1,1,0,0,0,-0.3
192,2,2,2,10,11,2.6
193,0,0,0,0,9,1.8
194,2,0,11,11,12,3.1
195,5,12,3,1,11,0.1
